state,date,ML,Low_90,High_90,Low_50,High_50
Romania_CODE,2020-11-20,0.8200000000000001,0.6900000000000001,0.93,0.76,0.86
Romania_CODE,2020-11-21,0.48,0.35000000000000003,0.6,0.4,0.51
Romania_CODE,2020-11-22,0.48,0.34,0.6,0.4,0.51
Romania_CODE,2020-11-23,0.78,0.63,0.9,0.71,0.8200000000000001
Romania_CODE,2020-11-24,1.19,1.04,1.3,1.11,1.22
Romania_CODE,2020-11-25,1.34,1.19,1.45,1.26,1.37
Romania_CODE,2020-11-26,1.22,1.08,1.33,1.1300000000000001,1.24
Romania_CODE,2020-11-27,0.79,0.64,0.9,0.71,0.8200000000000001
Romania_CODE,2020-11-28,0.27,0.12,0.39,0.2,0.31
Romania_CODE,2020-11-29,0.0,0.0,0.23,0.0,0.07
Romania_CODE,2020-11-30,0.27,0.11,0.41000000000000003,0.18,0.31
Romania_CODE,2020-12-01,0.84,0.68,0.98,0.74,0.87
Romania_CODE,2020-12-02,1.44,1.26,1.56,1.36,1.48
Romania_CODE,2020-12-03,1.6,1.44,1.72,1.51,1.6300000000000001
Romania_CODE,2020-12-04,1.29,1.1300000000000001,1.41,1.2,1.32
Romania_CODE,2020-12-05,1.02,0.86,1.1400000000000001,0.93,1.05
Romania_CODE,2020-12-06,0.8300000000000001,0.67,0.9500000000000001,0.74,0.86
Romania_CODE,2020-12-07,0.8200000000000001,0.68,0.96,0.74,0.86
Romania_CODE,2020-12-08,1.04,0.89,1.17,0.9500000000000001,1.07
Romania_CODE,2020-12-09,1.16,1.0,1.28,1.07,1.19
Romania_CODE,2020-12-10,1.05,0.89,1.17,0.96,1.08
Romania_CODE,2020-12-11,0.71,0.5700000000000001,0.85,0.63,0.75
Romania_CODE,2020-12-12,0.44,0.27,0.5700000000000001,0.37,0.49
Romania_CODE,2020-12-13,0.5,0.32,0.63,0.41000000000000003,0.54
Romania_CODE,2020-12-14,0.76,0.59,0.9,0.67,0.8
Romania_CODE,2020-12-15,1.04,0.87,1.18,0.9500000000000001,1.08
Romania_CODE,2020-12-16,1.1400000000000001,0.96,1.27,1.05,1.18
Romania_CODE,2020-12-17,0.99,0.81,1.12,0.9,1.03
Romania_CODE,2020-12-18,0.65,0.49,0.8,0.56,0.6900000000000001
Romania_CODE,2020-12-19,0.39,0.2,0.53,0.29,0.43
